Logistic Regression,Dönen Varlıklar,Duran Varlıklar,Toplam Varlıklar,Kısa Vadeli Yükümlülükler,Uzun Vadeli Yükümlülükler,Toplam Yükümlülükler,Toplam Özkaynaklar,Ana Ortaklığa Ait Özkaynaklar,Kontrol Gücü Olmayan Kaynaklar,Toplam Kaynaklar,Cari Oran,Dönen Varlıklar / Aktif (%),Asit Test Oranı,Nakit Oranı,Aktif Karlılık (%),Faaliyet Kar Marjı,Esas Faaliyet Kar Marjı,Brüt Kar Marjı (%),FAVÖK Marjı (%),Net Kar Marjı,Özsermaye Karlılığı (%),VAFÖK Marjı,ROCE Oranı,Finansman Gider / Net Satış,Borç Kaynak Oranı,Duran Varlıklar / Aktif ,Duran Varlıklar / Maddi Özkaynak,Esas Faaliyet Karı / Kısa Vadeli Borç,FAVÖK / Kısa Vade Borç,Net Borç / FAVÖK,Kısa Vade Borç / Aktif,Kısa Vade Borç / Dönen Varlık,Kısa Vade Borç / Özsermaye,Kısa Vade Borç / Toplam Borç,Net Satışlar / Kısa Vade Borç,Özsermaye / Aktif,Özsermaye / Maddi Duran Varlıklar,Toplam Borç / Özsermaye,Aktif Devir Hızı,Alacak Devir Hızı,Dönen Varlıklar Devir Hızı,Ticari Borçlar Devir Hızı,Finansal Kaldıraç,Stok Devir Hızı,Springate Skoru,Zmijewski Skoru,L Model Skoru,FBE_Sınıfı
Dusuk Orta Yuksek,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,discrete
meta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orta,1.63586e+08,4.88441e+08,6.52027e+08,1.41652e+08,6.17023e+07,2.03354e+08,4.48672e+08,4.48875e+08,-202618,6.52027e+08,1.15484,25.0888,0.461194,0.0237388,0.804652,4.89671,6.39542,20.2126,4.89671,2.58206,1.16935,4.89671,1.52597,-0.0368395,45.3236,74.9112,1.09219,0.0917389,0.0702407,20.4382,0.217249,0.86592,0.315714,0.696578,1.43445,0.688119,2.07482,0.453236,0.311632,3.6221,0.805078,1.97897,31.1881,1.72938,0.220383,-2.56311,-0.235189,
Yuksek,1.23424e+08,7.71917e+07,2.00616e+08,3.19207e+07,2.13992e+06,3.40606e+07,1.66555e+08,1.46666e+08,1.98893e+07,2.00616e+08,3.86659,61.5227,2.18484,0.112179,7.73215,13.0418,11.315,20.121,13.0418,10.3947,9.31338,13.0418,9.70118,-0.00311009,20.45,38.4773,0.464572,0.528978,0.609702,1.7501,0.159113,0.258626,0.191652,0.937173,4.675,0.83022,2.92518,0.2045,0.743855,2.34169,0.827078,6.97305,16.978,2.50866,1.52608,-3.69567,-0.356229,
Dusuk,1.70065e+06,1.57061e+07,1.74067e+07,8.92333e+06,7.9595e+06,1.68828e+07,523882,519519,4363,1.74067e+07,0.190585,9.77009,0.173797,0.0020424,-13.0826,-99.7527,-34.2148,-10.2242,-99.7527,-184.967,-434.689,-99.7527,-7.05546,-1.48444,3222.64,90.2299,30.0977,-0.0472068,-0.137631,-13.7468,0.512638,5.24701,17.0331,0.528545,0.137972,0.0300966,0.0357017,32.2264,0.0707296,0.815311,1.38133,2.75542,96.9903,0,-1.07272,1.81641,-0.917379,
Yuksek,6.51104e+10,3.23271e+10,9.74374e+10,2.84444e+10,3.55169e+10,6.39613e+10,3.34761e+10,3.12828e+10,2.19333e+09,9.74374e+10,2.28904,66.8227,1.7883,0.924897,7.59515,16.9781,16.3801,29.8062,16.9781,8.79988,22.1069,16.9781,14.6537,-0.111995,191.066,33.1773,1.01722,0.48429,0.501969,4.47965,0.291925,0.436864,0.849693,0.444712,2.95657,0.343565,1.43939,1.91066,0.863096,3.84014,0.774221,5.74881,65.6435,4.98971,1.33274,-0.909259,-0.441753,
Dusuk,6.71072e+08,3.02256e+08,9.73328e+08,6.61252e+08,1.96941e+08,8.58193e+08,1.15134e+08,1.15134e+08,0,9.73328e+08,1.01485,68.9462,0.898751,0.0175255,-0.17986,5.40057,6.42282,32.4283,5.40057,-1.28364,-1.52051,5.40057,0.756715,-0.0902445,745.384,31.0538,2.66152,0.0132468,0.0111384,116.518,0.679372,0.985367,5.74331,0.770516,0.206246,0.118289,0.405368,7.45384,0.140118,0.235966,4.92059,0.624224,88.1711,1.25542,0.0581146,0.729785,-0.598819,
Yuksek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.01402,7.84421,21.3958,8.01402,0,0,8.01402,0,-0.131302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Dusuk,3.57723e+09,6.99484e+07,3.64718e+09,2.96672e+09,2.09489e+06,2.96881e+09,6.78366e+08,3.91887e+08,2.86478e+08,3.64718e+09,1.20579,98.0821,1.20427,0.639647,1.16998,0.167065,0.16595,0.459539,0.167065,0.117259,6.29029,0.167065,1.66694,-0.000222246,437.642,1.91788,0.103272,0.0203559,0.0204927,48.8322,0.813428,0.829334,4.37333,0.999294,12.2663,0.185997,81.2459,4.37642,9.97777,35.1461,0.0983006,36.5713,81.4003,90449.4,4.24661,0.282342,-0.434794,
Yuksek,3.733e+07,3.16988e+07,6.90288e+07,4.09158e+06,582831,4.67441e+06,6.43544e+07,6.40775e+07,276875,6.90288e+07,9.12361,54.0789,7.73878,0.367927,-2.85586,-6.99942,-7.10477,10.4135,-6.99942,-8.81297,-3.0633,-6.99942,-2.26818,-0.068668,7.26355,45.9211,0.492579,-0.388423,-0.382663,-2.98552,0.0592735,0.109606,0.0635789,0.875315,5.46707,0.932283,2.8055,0.0726355,0.324052,0.744358,1.66883,5.20339,6.77168,6.43233,0.268168,-3.82199,-0.824368,
Dusuk,7.62561e+08,4.08698e+08,1.17126e+09,6.74531e+08,2.93692e+08,9.68223e+08,2.03036e+08,2.03036e+08,0,1.17126e+09,1.13051,65.1061,0.464281,0.0068544,2.23026,11.3783,10.1712,22.1352,11.3783,7.81215,12.8657,11.3783,3.24835,-0.0244234,476.872,34.8939,4.36237,0.0504204,0.0564045,25.4484,0.575902,0.88456,3.32222,0.696669,0.495719,0.173349,1.65111,4.76872,0.285486,1.08406,2.28054,2.58598,82.6651,0.919247,0.301352,0.307029,-0.525877,
Dusuk,3.05945e+09,9.44821e+09,1.25077e+10,3.1817e+09,4.00487e+09,7.18656e+09,5.32109e+09,5.32109e+09,0,1.25077e+10,0.961577,24.4606,0.796381,0.291413,2.32737,27.1726,25.4828,54.1065,27.1726,11.6081,5.47067,27.1726,5.44795,-0.179116,135.058,75.5394,3.59716,0.200848,0.214166,10.5466,0.25438,1.03996,0.597941,0.442728,0.78817,0.425427,0.868868,1.35058,0.200495,1.66791,1.22001,2.54149,57.4573,25.2813,0.236689,-1.13351,-0.369761,
Dusuk,1.11496e+08,3.97132e+07,1.5121e+08,1.03808e+08,1.35111e+07,1.17319e+08,3.38909e+07,3.38909e+07,0,1.5121e+08,1.07407,73.7363,0.705269,0.0976216,0.26005,3.28138,8.35186,11.6306,3.28138,0.173991,1.16025,3.28138,4.90441,-0.0716112,346.165,26.2637,1.17271,0.181829,0.0714393,15.8198,0.686515,0.93104,3.06299,0.884835,2.17711,0.224132,0.968717,3.46165,1.49462,3.59859,0.493346,4.25565,77.5868,5.33333,0.655675,0.106448,-0.500992,
Dusuk,7.96899e+08,4.57043e+08,1.25394e+09,6.6266e+08,1.83362e+08,8.46022e+08,4.0792e+08,4.06265e+08,1.655e+06,1.25394e+09,1.20258,63.5515,0.499131,0.266025,-2.59254,1.28395,0.885645,12.4248,1.28395,-2.79664,-7.96945,1.28395,1.19025,-0.0388652,207.399,36.4485,1.13851,0.0155359,0.0225229,56.6849,0.528461,0.831548,1.62449,0.783266,1.75419,0.32531,2.14408,2.07399,0.92702,9.29088,0.685546,1.82577,67.469,2.26652,0.352437,-0.342413,-0.424126,
Dusuk,7.45727e+07,1.08523e+08,1.83095e+08,8.84868e+07,5.3265e+07,1.41752e+08,4.13436e+07,4.13153e+07,28361,1.83095e+08,0.842755,40.7289,0.471421,0.0846811,-0.0422233,14.8568,9.51374,26.0568,14.8568,-0.0985333,-0.186991,14.8568,6.36642,-0.146027,342.863,59.2711,2.73421,0.0843567,0.131733,12.1606,0.483283,1.18659,2.14028,0.624238,0.886683,0.225804,0.394535,3.42863,0.428519,2.29787,0.950457,1.6761,77.4196,2.13395,0.13449,0.111448,-0.516352,
